Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	507.827972130	507.965329321	0.000	22050.000	25
1	Spectrogram 1	1	507.827972130	507.965329321	0.000	22050.000	25
2	Waveform 1	1	508.027764408	508.227556685	0.000	22050.000	25
2	Spectrogram 1	1	508.027764408	508.227556685	0.000	22050.000	25
3	Waveform 1	1	628.654754074	628.916981438	0.000	22050.000	25
3	Spectrogram 1	1	628.654754074	628.916981438	0.000	22050.000	25
4	Waveform 1	1	653.304757884	653.504550161	0.000	22050.000	25
4	Spectrogram 1	1	653.304757884	653.504550161	0.000	22050.000	25
5	Waveform 1	1	653.560741739	653.785508051	0.000	22050.000	25
5	Spectrogram 1	1	653.560741739	653.785508051	0.000	22050.000	25
6	Waveform 1	1	653.835456120	653.979056819	0.000	22050.000	25
6	Spectrogram 1	1	653.835456120	653.979056819	0.000	22050.000	25
7	Waveform 1	1	654.010274363	654.191336114	0.000	22050.000	25
7	Spectrogram 1	1	654.010274363	654.191336114	0.000	22050.000	25
8	Waveform 1	1	654.260014709	654.416102425	0.000	22050.000	25
8	Spectrogram 1	1	654.260014709	654.416102425	0.000	22050.000	25
9	Waveform 1	1	654.416102425	654.709547332	0.000	22050.000	25
9	Spectrogram 1	1	654.416102425	654.709547332	0.000	22050.000	25
10	Waveform 1	1	654.796956454	655.027966274	0.000	22050.000	25
10	Spectrogram 1	1	654.796956454	655.027966274	0.000	22050.000	25
11	Waveform 1	1	655.071670835	655.246489077	0.000	22050.000	25
11	Spectrogram 1	1	655.071670835	655.246489077	0.000	22050.000	25
12	Waveform 1	1	655.352628724	655.602369070	0.000	22050.000	25
12	Spectrogram 1	1	655.352628724	655.602369070	0.000	22050.000	25
13	Waveform 1	1	655.683534683	655.895813977	0.000	22050.000	25
13	Spectrogram 1	1	655.683534683	655.895813977	0.000	22050.000	25
14	Waveform 1	1	655.914544503	656.064388711	0.000	22050.000	25
14	Spectrogram 1	1	655.914544503	656.064388711	0.000	22050.000	25
15	Waveform 1	1	656.170528358	656.314129057	0.000	22050.000	25
15	Spectrogram 1	1	656.170528358	656.314129057	0.000	22050.000	25
16	Waveform 1	1	656.376564144	656.588843438	0.000	22050.000	25
16	Spectrogram 1	1	656.376564144	656.588843438	0.000	22050.000	25
17	Waveform 1	1	656.651278525	656.844827293	0.000	22050.000	25
17	Spectrogram 1	1	656.651278525	656.844827293	0.000	22050.000	25
18	Waveform 1	1	656.844827293	657.150759217	0.000	22050.000	25
18	Spectrogram 1	1	656.844827293	657.150759217	0.000	22050.000	25
19	Waveform 1	1	657.269385882	657.456691142	0.000	22050.000	25
19	Spectrogram 1	1	657.269385882	657.456691142	0.000	22050.000	25
